Product ID,Product Name,Category,Product Description,Price (After Disc.),Price (Before Disc.),Dimensions,Material & Finish,Bulb Type,Style
JC7,12-Light Black Iron Classic Chandelier,Chandelier,"Bring timeless elegance to your space with this 12-light black iron chandelier. Crafted with gracefully curved arms and delicate metal leaf accents, this statement fixture features two tiers of candle-style lights with warm LED filament bulbs. Its bold black finish blends classic charm with modern versatility, making it perfect for dining rooms, living areas, or grand entryways. Design features two-tier, candle-style with decorative leaves and adjustable chain suspension.","₹2,400.00","₹5,000.00","39"" (H) x 40"" (W)","Metal, black finish","E12 base, LED filament recommended","Traditional, rustic, modern farmhouse"
JHL-01,Hanging Lampshade,Hanging Lamp,Hanging Lampshade fixture designed for ambient lighting. Simple and functional for various interior settings.,"₹1,000.00","₹1,500.00",—,—,—,—
JHG-01,Glass hanging shade,Hanging Lamp,"Glass hanging shade fixture designed to provide clean, direct illumination through a glass housing.","₹1,200.00","₹1,700.00",—,Glass,—,—
JC20,6-Lights Chandelier,Chandelier,"This is a wrought iron chandelier with a rustic, classic design. Crafted from black wrought iron with a slightly matte finish for a vintage look. A central stem extends downward, supporting five evenly spaced curved arms with decorative scrollwork. Each arm holds a candle-style socket with a small round drip plate, fitted with flame-tip bulbs for an old-world charm. Suspended from a linked chain.","₹2,000.00","₹4,000.00",—,"Black wrought iron, matte finish","Candle-style socket, flame-tip bulbs","Rustic, traditional"
JC13,6-Light Black & Gold Chandelier,Chandelier,"Sophisticated chandelier with a sleek black frame and gold candle cups for a striking two-tone finish. Features 6 gracefully curved arms with candle-style lights, perfect for adding elegance to dining rooms, living spaces, or large entryways. Single-tier design with adjustable chain.","₹2,000.00","₹4,200.00","43"" H x 38"" W",Metal with black and gold finish,"E12 base, LED filament recommended","Modern classic, transitional"
JC11,12-Light Black Chandelier,Chandelier,"A grand two-tier chandelier with 12 candle-style lights arranged on gracefully curved arms. Decorative metal leaf accents add a touch of classic charm. The bold black finish complements both traditional and modern spaces, making it perfect for dining rooms, living rooms, or large entryways. Adjustable chain to fit various ceiling heights.","₹1,800.00","₹4,000.00","39"" H x 40"" W","Metal, black finish","E12 base, LED filament recommended","Traditional, rustic, modern farmhouse"
JC19,8-Lights Chandelier,Chandelier,"This chandelier has a minimalist, classic candle-style design with a modern black finish. Constructed from metal with a sleek matte black coating. A central cylindrical stem supports 8 gracefully curved arms that extend outward in a symmetrical arrangement. Each arm holds a candle-style bulb socket with a simple round drip plate, fitted with flame-tip LED bulbs to mimic the look of traditional candles. Suspended by a chain for ceiling installation.",—,—,—,Metal with matte black coating,"Candle-style bulb socket, flame-tip LED",Classic elegance with modern industrial edge
JC18,12-Lights Chandelier,Chandelier,"Traditional-style chandelier with a symmetrical, elegant design. Made of metal with a dark or possibly antique finish, giving it a vintage, classic appearance. A central vertical column supports multiple gracefully arched arms arranged in two tiers — the upper tier is shorter, and the lower tier extends wider. Each arm ends in a candle-style socket with a wide circular drip plate, evoking the look of old candelabras.",—,—,—,"Metal, dark/antique finish","Candle-style socket, electric candle bulbs","Traditional, vintage, rustic, formal"
JC17,9-Lights Chandelier,Chandelier,"Modern Black Metal Chandelier designed to add a bold statement with a contemporary industrial edge. Featuring a central column with elegantly curved arms that radiate outward, creating a striking floral-inspired silhouette. Each arm ends with a sleek, round light holder designed for directional or spot-style bulbs, offering both functional illumination and sculptural appeal. 8 curved arms with decorative loops.",—,—,—,Powder-coated black metal,GU10/E16/MR16-style bulbs,Modern Industrial / Contemporary Gothic
JC16,12-Light Antique Gold Chandelier with Crystal Accents,Chandelier,"A statement two-tier chandelier in a rich antique gold finish, featuring 12 candle-style lights. Each light is adorned with textured glass bobeches and hanging crystal drops, adding sparkle and luxury. The elegant curved arms and tiered design make it ideal for grand dining rooms, ballrooms, or large entryways. Adjustable chain to fit various ceiling heights.",—,—,"48"" H x 38"" W",Metal with antique gold finish,"E12 base, LED filament recommended","Classic, vintage, formal elegance"
